,entity,CIK,Full_CIK,ticker
117,"Akili, Inc.",1850266,CIK0001850266,AKLI
118,BLOCKCHAIN COINVESTORS ACQUISITION CORP. I,0001873441,CIK0001873441,BCSAW
119,INTERNATIONAL ISOTOPES INC,1038277,CIK0001038277,INIS
120,TREMOR INTERNATIONAL LTD.,0001849396,CIK0001849396,TRMR
121,iSign Solutions Inc.,727634,CIK0000727634,ISGN
122,WETOUCH TECHNOLOGY INC.,1826660,CIK0001826660,WETH
123,SJW GROUP,766829,CIK0000766829,SJW
124,PRIMO WATER CORP,884713,CIK0000884713,PRMW
125,"SHYFT GROUP, INC.",743238,CIK0000743238,SHYF
126,Anterix Inc.,1304492,CIK0001304492,ATEX
127,VS Trust,0001793497,CIK0001793497,UVIX
128,,0000810766,CIK0000810766,CIK
129,"DELTA APPAREL, INC",1101396,CIK0001101396,DLA
130,Meta Data Limited,1722380,CIK0001722380,AIU
131,Burcon NutraScience Corporation,1158399,CIK0001158399,BRCN
132,RMG ACQUISITION CORP. III,1838108,CIK0001838108,RMGCW
133,METAL SKY STAR ACQUISITION CORPORATION,0001882464,CIK0001882464,MSSAW
134,NOTOX TECHNOLOGIES CORP.,844538,CIK0000844538,NTOX
135,"SCIENCE 37 HOLDINGS, INC.",1819113,CIK0001819113,SNCE
136,"ZK INTERNATIONAL GROUP CO., LTD.",1687451,CIK0001687451,ZKIN
137,DUNE ACQUISITION CORPORATION,1817232,CIK0001817232,DUNEW
138,"MODIV INDUSTRIAL, INC.",1645873,CIK0001645873,MDV
139,LABORATORY CORPORATION OF AMERICA HOLDINGS,920148,CIK0000920148,LH
140,XPeng Inc.,1810997,CIK0001810997,XPNGF
141,EQUATOR Beverage Company,1414953,CIK0001414953,MOJO
142,"INDO     GLOBAL EXCHANGE(S) PTE, LTD.",1442853,CIK0001442853,IGEX
143,"VIVAKOR, INC",0001450704,CIK0001450704,VIVK
144,Freeport-McMoRan Inc.,831259,CIK0000831259,FCX
145,OBSEVA SA,1685316,CIK0001685316,OBSV
146,"THUNDER MOUNTAIN GOLD, INC.",711034,CIK0000711034,THMG
147,REGENCY CENTERS CORPORATION,910606,CIK0000910606,REG
148,,0001350869,CIK0001350869,GLO
149,,0001051004,CIK0001051004,MUC
150,Olink Holding AB (publ),0001835539,CIK0001835539,OLK
151,Beam Therapeutics Inc.,1745999,CIK0001745999,BEAM
152,NETBRANDS CORP.,1725911,CIK0001725911,GDMK
153,United Maritime Corp,0001912847,CIK0001912847,USEA
154,"Mondelez International, Inc.",1103982,CIK0001103982,MDLZ
155,Worksport Ltd,1096275,CIK0001096275,WKSPW
156,TIO TECH A,1846163,CIK0001846163,TIOAW
157,TriCo Bancshares,356171,CIK0000356171,TCBK
158,ESPEY MFG. & ELECTRONICS CORP.,33533,CIK0000033533,ESP
159,"GoodRx Holdings, Inc.",1809519,CIK0001809519,GDRX
160,Endurance Acquisition Corp.,1864891,CIK0001864891,EDNCW
161,ALBANY INTERNATIONAL CORP.,819793,CIK0000819793,AIN
162,Endexx Corporation,1109486,CIK0001109486,EDXC
163,"SIBANNAC, INC.",1313938,CIK0001313938,SNNC
164,BUSINESS WARRIOR CORPORATION,0001830503,CIK0001830503,BZWR
165,PLYMOUTH ROCK TECHNOLOGIES INC.,1639142,CIK0001639142,PLRTF
166,Climate Real Impact Solutions II Acquisition Corp,1835713,CIK0001835713,CLIM
167,AEON GLOBAL HEALTH CORP.,885074,CIK0000885074,AGHC
168,"Marchex, Inc.",1224133,CIK0001224133,MCHX
169,COSTAMARE INC.,1503584,CIK0001503584,CMRE
170,Jowell Global Ltd.,1805594,CIK0001805594,JWEL
171,INTERNATIONAL STEM CELL CORPORATION,1355790,CIK0001355790,ISCO
172,"INTER & Co, INC.",0001864163,CIK0001864163,INTR
173,"USA Compression Partners, LP",1522727,CIK0001522727,USAC
174,"PLYMOUTH INDUSTRIAL REIT, INC.",1515816,CIK0001515816,PLYM
175,"Priority Technology Holdings, Inc.",1653558,CIK0001653558,PRTHW
176,"IAA, Inc.",1745041,CIK0001745041,IAA
177,THE WENDY’S COMPANY,30697,CIK0000030697,WEN
178,Molson Coors Beverage Company,24545,CIK0000024545,TAP
179,OCEAN ELECTRIC INC.,1358099,CIK0001358099,UCIX
180,GOLD RESERVE INC.,1072725,CIK0001072725,GDRZF
181,"LINGERIE FIGHTING CHAMPIONSHIPS, INC.",1407704,CIK0001407704,BOTY
182,China Index Holdings Limited,1749797,CIK0001749797,CIH
183,"Terns Pharmaceuticals, Inc.",1831363,CIK0001831363,TERN
184,Safehold Inc.,1095651,CIK0001095651,STAR
185,AUSTERLITZ ACQUISITION CORPORATION II,1839191,CIK0001839191,ASZ
186,CHINO COMMERCIAL BANCORP,1365794,CIK0001365794,CCBC
187,"Emerald Holding, Inc.",1579214,CIK0001579214,EEX
188,QUANTUM-SI INCORPORATED,1816431,CIK0001816431,QSIAW
189,"SAVE     FOODS, INC.",1789192,CIK0001789192,SVFD
190,HALLIBURTON COMPANY,45012,CIK0000045012,HAL
191,Mallinckrodt plc,1567892,CIK0001567892,MNKPF
192,PARKER-HANNIFIN CORPORATION,76334,CIK0000076334,PH
193,DYNASIL CORP OF AMERICA,30831,CIK0000030831,DYSL
194,,0000897802,CIK0000897802,SPE
195,"CHENIERE ENERGY, INC.",3570,CIK0000003570,LNG
196,TRANSCAT INC,99302,CIK0000099302,TRNS
197,"IGC PHARMA, INC.",1326205,CIK0001326205,IGC
198,"ASSERTIO HOLDINGS, INC.",1808665,CIK0001808665,ASRT
199,Alibaba Group Holding Limited,1577552,CIK0001577552,BABAF
200,Kazia Therapeutics Limited,1075880,CIK0001075880,KZIA
201,ENERTECK CORPORATION,1128353,CIK0001128353,ETCK
202,Mettler-Toledo International Inc.,1037646,CIK0001037646,MTD
203,TAYLOR DEVICES INC,96536,CIK0000096536,TAYD
204,"BioLife Solutions, Inc.",834365,CIK0000834365,BLFS
205,China Finance Online Co. LTD,1297830,CIK0001297830,JRJCY
206,"Therapeutic Solutions International, Inc.",1419051,CIK0001419051,TSOI
207,HUYA Inc.,1728190,CIK0001728190,HUYA
208,"Advent Technologies Holdings, Inc.",1744494,CIK0001744494,ADNWW
209,"HILL INTERNATIONAL, INC.",1287808,CIK0001287808,HIL
210,Giga Metals Corp,1336364,CIK0001336364,HNCKF
211,WEST FRASER TIMBER CO. LTD.,0001402388,CIK0001402388,WFG
212,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",67088,CIK0000067088,MBFJF
213,"HEALTHCARE SERVICES GROUP, INC.",731012,CIK0000731012,HCSG
214,"NAVIDEA BIOPHARMACEUTICALS, INC.",810509,CIK0000810509,NAVB
215,,0001551040,CIK0001551040,EDI
216,voxeljet AG,1582581,CIK0001582581,VJET
217,"NOMURA HOLDINGS, INC.",1163653,CIK0001163653,NRSCF
218,"Wytec International, Inc.",1560143,CIK0001560143,WYTC
219,ENBRIDGE INC.,895728,CIK0000895728,EBGEF
220,Intchains Group Limited,0001895597,CIK0001895597,ICG
221,"NOVAVAX, INC.",1000694,CIK0001000694,NVAX
222,ATHENA TECHNOLOGY ACQUISITION CORP. II,0001882198,CIK0001882198,ATEK
223,PRESTO AUTOMATION INC.,1822145,CIK0001822145,VTAQW
224,"LIXTE BIOTECHNOLOGY HOLDINGS, INC.",1335105,CIK0001335105,LIXTW
225,OIL-DRI CORPORATION OF AMERICA,74046,CIK0000074046,ODC
226,"CARA THERAPEUTICS, INC.",1346830,CIK0001346830,CARA
227,SANARA MEDTECH INC.,714256,CIK0000714256,SMTI
228,MCCORMICK & CO INC,63754,CIK0000063754,MKC
229,DIRTT ENVIRONMENTAL SOLUTIONS LTD,1340476,CIK0001340476,DRTT
230,BIO-PATH HOLDINGS INC,1133818,CIK0001133818,BPTH
231,"Himalaya Technologies, Inc.",1409624,CIK0001409624,HMLA
232,"Duck Creek Technologies, Inc.",1160951,CIK0001160951,DCT
233,"ERASCA, INC.",1761918,CIK0001761918,ERAS
234,Fury Gold Mines Limited,1514597,CIK0001514597,FURY
235,AMERICAN     BATTERY TECHNOLOGY COMPANY,1576873,CIK0001576873,ABML
236,"KINSALE CAPITAL GROUP, INC.",1669162,CIK0001669162,KNSL
237,SeaSpine Holdings Corporation,1637761,CIK0001637761,SPNE
238,PSYCHEMEDICS CORP,806517,CIK0000806517,PMD
239,Cell MedX Corp.,1493712,CIK0001493712,CMXC
240,NOVA     VISION ACQUISITION CORP.,1858028,CIK0001858028,NOVVW
241,"ANTILIA GROUP, CORP.",1691906,CIK0001691906,AGGG
242,LIZHI INC.,1783407,CIK0001783407,LIZI
243,Enservco Corporation,319458,CIK0000319458,ENSV
244,"Societal CDMO, Inc.",1588972,CIK0001588972,REPH
245,PLAINS GP HOLDINGS LP,1581990,CIK0001581990,PAGP
246,"Texas Community Bancshares, Inc.",1849466,CIK0001849466,TCBS
247,ALBEMARLE CORPORATION,915913,CIK0000915913,ALB
248,FULLER H B CO,39368,CIK0000039368,FUL
249,"LEMAITRE VASCULAR, INC.",1158895,CIK0001158895,LMAT
250,"LAMB WESTON HOLDINGS, INC.",1679273,CIK0001679273,LW
251,Noah Holdings Ltd,1499543,CIK0001499543,NOAH
252,"MESA AIR GROUP, INC.",810332,CIK0000810332,MESA
253,"AMERICAN AXLE & MANUFACTURING HOLDINGS, INC",1062231,CIK0001062231,AXL
254,DallasNews CORPORATION,1413898,CIK0001413898,DALN
255,OPTICAL CABLE CORPORATION,1000230,CIK0001000230,OCC
256,"PNC FINANCIAL SERVICES GROUP, INC",713676,CIK0000713676,PNC
257,,0001396277,CIK0001396277,CHW
258,Joint Corp,1612630,CIK0001612630,JYNT
259,"OpenLocker Holdings, Inc.",924396,CIK0000924396,DSRO
260,"SPIRIT REALTY CAPITAL, INC.",1308606,CIK0001308606,SRC
261,ANTHEMIS DIGITAL ACQUISITIONS I CORP,1853928,CIK0001853928,ADALW
262,"Match Group, Inc.",891103,CIK0000891103,MTCH
263,Karat Packaging Inc.,1758021,CIK0001758021,KRT
264,STEALTH BIOTHERAPEUTICS CORP,1696396,CIK0001696396,MITO
265,"LAKELAND BANCORP, INC",846901,CIK0000846901,LBAI
266,Alpha Tau Medical Ltd.,0001871321,CIK0001871321,DRTSW
267,KONINKLIJKE PHILIPS NV,313216,CIK0000313216,RYLPF
268,GERON CORP,886744,CIK0000886744,GERN
269,Glatfelter Corporation,41719,CIK0000041719,GLT
270,ALMOST NEVER FILMS INC.,1422768,CIK0001422768,HLWD
271,"CITIZENS COMMUNITY BANCORP, INC.",1367859,CIK0001367859,CZWI
272,"ONCORUS, INC.",1671818,CIK0001671818,ONCR
273,NUTEX HEALTH INC.,1479681,CIK0001479681,NUTX
274,The ODP Corporation,800240,CIK0000800240,ODP
275,Cheetah Mobile Inc.,1597835,CIK0001597835,CMCM
276,MAGNUM OPUS ACQUISITION LIMITED,1843121,CIK0001843121,OPA
277,MOGU Inc,1743971,CIK0001743971,MOGU
278,GRAND RIVER COMMERCE INC,1418489,CIK0001418489,GNRV
279,EUROSEAS LTD.,1341170,CIK0001341170,ESEA
280,"Roan Holdings Group Co., Ltd.",1611852,CIK0001611852,RAHGF
281,AURA FAT PROJECTS ACQUISITION CORP.,0001901886,CIK0001901886,AFARW
282,United States Commodity Index Funds Trust,1479247,CIK0001479247,CPER
283,"UserTesting, Inc.",0001557127,CIK0001557127,USER
284,"Utilicraft Aerospace Industries, Inc",1334740,CIK0001334740,UITA
285,"Design Therapeutics, Inc.",1807120,CIK0001807120,DSGN
286,COMPX INTERNATIONAL INC.,1049606,CIK0001049606,CIX
287,"NATIONAL WESTERN LIFE GROUP, INC.",1635984,CIK0001635984,NWLI
288,CAPITAL ONE FINANCIAL CORP,927628,CIK0000927628,COF
289,KEARNY FINANCIAL CORP.,1617242,CIK0001617242,KRNY
290,ASIA PACIFIC WIRE & CABLE CORPORATION LIMITED,1026980,CIK0001026980,APWC
291,"Fortune Valley Treasures, Inc.",1626745,CIK0001626745,FVTI
292,McGRATH RENTCORP,752714,CIK0000752714,MGRC
293,"DIEGO PELLICER WORLDWIDE, INC.",1559172,CIK0001559172,DPWW
294,"GOLDEN ENTERTAINMENT, INC.",1071255,CIK0001071255,GDEN
295,APTIV PLC,1521332,CIK0001521332,APTV
296,"GREENWICH LIFESCIENCES, INC.",1799788,CIK0001799788,GLSI
297,"LiveOne, Inc.",1491419,CIK0001491419,LVO
298,Federal Home Loan Mortgage Corporation,1026214,CIK0001026214,FMCKK
299,"ROCKET LAB USA, INC.",1819994,CIK0001819994,RKLB
300,ENTHUSIAST GAMING HOLDINGS INC. / Canada,0001854233,CIK0001854233,EGLX
301,"Galaxy Gaming, Inc.",13156,CIK0000013156,GLXZ
302,"AMERICAN FINANCIAL GROUP, INC.",1042046,CIK0001042046,AFGB
303,TREX CO INC,1069878,CIK0001069878,TREX
304,"BLOOMIOS, INC.",1138608,CIK0001138608,BLMS
305,"VITAL PRODUCTS, INC.",1331275,CIK0001331275,XCPL
306,"DIVERSEY HOLDINGS, LTD.",1831617,CIK0001831617,DSEY
307,LODE-STAR MINING INC.,1319643,CIK0001319643,LSMG
308,BARINTHUS BIOTHERAPEUTICS PLC,1828185,CIK0001828185,VACC
309,JOFF FINTECH ACQUISITION CORP.,1824149,CIK0001824149,JOFFW
310,"Reata Pharmaceuticals, Inc.",1358762,CIK0001358762,RETA
311,LUXURBAN HOTELS INC.,0001893311,CIK0001893311,CHG
312,"ONE Gas, Inc.",1587732,CIK0001587732,OGS
313,"CONCERT PHARMACEUTICALS, INC.",1367920,CIK0001367920,CNCE
314,UNICO AMERICAN CORPORATION,100716,CIK0000100716,UNAM
315,"RCI HOSPITALITY HOLDINGS, INC.",935419,CIK0000935419,RICK
316,"Next Meats Holdings, Inc.",1811530,CIK0001811530,NXMH
317,Warrior Technologies Acquisition Co,1820209,CIK0001820209,WARR
318,"TRICIDA, INC.",1595585,CIK0001595585,TCDA
319,"MKS INSTRUMENTS, INC.",1049502,CIK0001049502,MKSI
320,"BARNWELL INDUSTRIES, INC.",10048,CIK0000010048,BRN
321,NORZINC LTD.,910569,CIK0000910569,NORZF
322,NET Power Inc.,1845437,CIK0001845437,RONI
323,Starbucks Corporation,829224,CIK0000829224,SBUX
324,California Resources Corp,1609253,CIK0001609253,CRCQW
325,MARTIN MIDSTREAM PARTNERS L.P.,1176334,CIK0001176334,MMLP
326,DAVITA INC.,927066,CIK0000927066,DVA
327,HMN FINANCIAL INC,921183,CIK0000921183,HMNF
328,ALTAIR ENGINEERING INC.,1701732,CIK0001701732,ALTR
329,"Track Group, Inc.",1045942,CIK0001045942,TRCK
330,EDIBLE GARDEN AG INCORPORATED,0001809750,CIK0001809750,EDBLW
331,"INDIE SEMICONDUCTOR, INC.",1841925,CIK0001841925,INDIW
332,"Renewable Innovations, Inc.",1725516,CIK0001725516,NBLD
333,7 ACQUISITION CORPORATION,0001850699,CIK0001850699,SVNAW
334,Natura &Co Holding S.A.,1776967,CIK0001776967,NTCO
335,Meridian Corp,1750735,CIK0001750735,MRBK
336,"YIELD10 BIOSCIENCE, INC.",1121702,CIK0001121702,YTEN
337,"First Savings Financial Group, Inc.",1435508,CIK0001435508,FSFG
338,Brandywine Realty Trust,790816,CIK0000790816,BDN
339,"FATE THERAPEUTICS, INC.",1434316,CIK0001434316,FATE
340,"Entegris, Inc.",1101302,CIK0001101302,ENTG
341,"CGS INTERNATIONAL, INC.",1552358,CIK0001552358,CGSI
342,AGM GROUP HOLDINGS INC.,1705402,CIK0001705402,AGMH
343,"Charge Enterprises, Inc.",0001277250,CIK0001277250,CRGE
344,"Elevation Oncology, Inc.",1783032,CIK0001783032,ELEV
345,ATOMERA INCORPORATED,1420520,CIK0001420520,ATOM
346,"Viridian Therapeutics, Inc./DE",1590750,CIK0001590750,VRDN
347,"GSE Systems, Inc.",944480,CIK0000944480,GVP
348,"AVENIR WELLNESS SOLUTIONS, INC.",1643301,CIK0001643301,CURR
349,"WINDGEN ENERGY, INC.",726037,CIK0000726037,WGEI
350,BITECH TECHNOLOGIES CORPORATION,1066764,CIK0001066764,BTTC
351,NATIONAL FUEL GAS COMPANY,70145,CIK0000070145,NFG
352,"LATHAM GROUP, Inc.",1833197,CIK0001833197,SWIM
353,"Metacrine, Inc.",1634379,CIK0001634379,MTCR
354,"HANGER, INC.",722723,CIK0000722723,HNGR
355,MORGAN STANLEY,895421,CIK0000895421,MS
356,POWER AMERICAS RESOURCE GROUP LTD.,1495648,CIK0001495648,PARG
357,"CARDIFF ONCOLOGY, INC.",1213037,CIK0001213037,CRDF
358,NFiniTi inc.,1544400,CIK0001544400,NFTN
359,"TRUTANKLESS, INC.",1429393,CIK0001429393,TKLS
360,,0001635977,CIK0001635977,THW
361,HUDSON EXECUTIVE INVESTMENT CORP. III,1823034,CIK0001823034,HIIIW
362,"HAWAIIAN ELECTRIC INDUSTRIES, INC.",354707,CIK0000354707,HE
363,Sow Good Inc.,1490161,CIK0001490161,SOWG
364,ZALATORIS ACQUISITION CORP.,0001846750,CIK0001846750,TCOA
365,"LM FUNDING AMERICA, INC.",1640384,CIK0001640384,LMFA
366,"PERIMETER SOLUTIONS, SA",1880319,CIK0001880319,PRMFF
367,"Charter Communications, Inc.",1091667,CIK0001091667,CHTR
368,IDEAL POWER INC.,1507957,CIK0001507957,IPWR
369,"WOODWARD, INC.",108312,CIK0000108312,WWD
370,"CRANE NXT, CO.",25445,CIK0000025445,CR
371,"MGP Ingredients, Inc.",835011,CIK0000835011,MGPI
372,Textainer Group Holdings Limited,1413159,CIK0001413159,TGH
373,ST Energy Transition I Ltd.,0001858684,CIK0001858684,STET
374,"Mycotopia Therapies, Inc.",1763329,CIK0001763329,TPIA
375,"Accel Entertainment, Inc.",1698991,CIK0001698991,ACEL
376,LDH Growth Corp I,1842373,CIK0001842373,LDHAW
377,"Sparx Holdings Group, Inc.",1874138,CIK0001874138,PRTM
378,"ADDvantage Technologies Group, Inc.",874292,CIK0000874292,AEY
379,"RENAVOTIO, INC.",1574910,CIK0001574910,RIII
380,"AutoWeb, Inc.",1023364,CIK0001023364,AUTO
381,Gold Royalty Corp.,0001834026,CIK0001834026,GROY
382,BTRS HOLDINGS INC.,1774155,CIK0001774155,BTRS
383,"MANHATTAN SCIENTIFICS, INC.",1099132,CIK0001099132,MHTX
384,"CORETAG HOLDINGS, INC.",1624140,CIK0001624140,JMKJ
385,ARCONIC CORPORATION,1790982,CIK0001790982,ARNC
386,TransGlobe Energy Corporation,736744,CIK0000736744,TGA
387,SL GREEN REALTY CORP,1040971,CIK0001040971,SLG
388,"GREENE COUNTY BANCORP, INC.",1070524,CIK0001070524,GCBC
389,"SALISBURY BANCORP, INC.",1060219,CIK0001060219,SAL
390,"ServisFirst Bancshares, Inc.",1430723,CIK0001430723,SFBS
391,"First Wave BioPharma, Inc.",1604191,CIK0001604191,FWBI
392,ELECTRO SENSORS INC,351789,CIK0000351789,ELSE
393,ACADIA REALTY TRUST,899629,CIK0000899629,AKR
394,UNITED SECURITY BANCSHARES,1137547,CIK0001137547,UBFO
395,"WHEELER REAL ESTATE INVESTMENT TRUST, INC.",1527541,CIK0001527541,WHLRP
396,"PRINCIPAL SOLAR, INC.",1587476,CIK0001587476,PSWW
397,BrasilAgro – Brazilian Agricultural Real Estate Company,1499849,CIK0001499849,BRCPF
398,"COLONY BANKCORP, INC.",711669,CIK0000711669,CBAN
399,Textron Inc.,217346,CIK0000217346,TXT
400,"GOOSEHEAD INSURANCE, INC.",1726978,CIK0001726978,GSHD
401,"PATRICK INDUSTRIES, INC.",76605,CIK0000076605,PATK
402,Citigroup Inc,831001,CIK0000831001,C
403,First America Resources Corporation,1525306,CIK0001525306,FSTJ
404,GOLDEN FALCON ACQUISITION CORP.,1823896,CIK0001823896,GFX
