,industry,industry_Disp,indistry_map_dic,sector,sectorKey,sectorDisp
GE,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
GLNCY,Other Industrial Metals & Mining,Other Industrial Metals & Mining,other-industrial-metals-mining,Basic Materials,basic-materials,Basic Materials
ZTS,Drug Manufacturers - Specialty & Generic,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Healthcare,healthcare,Healthcare
ISRG,Medical Instruments & Supplies,Medical Instruments & Supplies,medical-instruments-supplies,Healthcare,healthcare,Healthcare
EADSY,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
PGR,Insurance - Property & Casualty,Insurance - Property & Casualty,insurance-property-casualty,Financial Services,financial-services,Financial Services
BDX,Medical Instruments & Supplies,Medical Instruments & Supplies,medical-instruments-supplies,Healthcare,healthcare,Healthcare
VRTX,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
EOG,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
WM,Waste Management,Waste Management,waste-management,Industrials,industrials,Industrials
PBCRY,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
CP,Railroads,Railroads,railroads,Industrials,industrials,Industrials
IDEXY,Apparel Retail,Apparel Retail,apparel-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
CCI,REIT - Specialty,REIT - Specialty,reit-specialty,Real Estate,real-estate,Real Estate
PNC,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
CME,Financial Data & Stock Exchanges,Financial Data & Stock Exchanges,financial-data-stock-exchanges,Financial Services,financial-services,Financial Services
GOOGL,Internet Content & Information,Internet Content & Information,internet-content-information,Communication Services,communication-services,Communication Services
USB,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
CHTR,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
BX,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
MMM,Conglomerates,Conglomerates,conglomerates,Industrials,industrials,Industrials
CSX,Railroads,Railroads,railroads,Industrials,industrials,Industrials
MUFG,Banks - Diversified,Banks - Diversified,banks-diversified,Financial Services,financial-services,Financial Services
BNS,Banks - Diversified,Banks - Diversified,banks-diversified,Financial Services,financial-services,Financial Services
D,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
HCA,Medical Care Facilities,Medical Care Facilities,medical-care-facilities,Healthcare,healthcare,Healthcare
SFTBY,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
UBER,Software - Application,Software - Application,software-application,Technology,technology,Technology
TFC,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
AMZN,Internet Retail,Internet Retail,internet-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
TEAM,Software - Application,Software - Application,software-application,Technology,technology,Technology
HUM,Healthcare Plans,Healthcare Plans,healthcare-plans,Healthcare,healthcare,Healthcare
GD,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
CNQ,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
CL,Household & Personal Products,Household & Personal Products,household-personal-products,Consumer Defensive,consumer-defensive,Consumer Defensive
VALE,Other Industrial Metals & Mining,Other Industrial Metals & Mining,other-industrial-metals-mining,Basic Materials,basic-materials,Basic Materials
BMO,Banks - Diversified,Banks - Diversified,banks-diversified,Financial Services,financial-services,Financial Services
AON,Insurance Brokers,Insurance Brokers,insurance-brokers,Financial Services,financial-services,Financial Services
ITW,Specialty Industrial Machinery,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,Industrials
OXY,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
SNOW,Software - Application,Software - Application,software-application,Technology,technology,Technology
BSX,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
CTA-PA,Agricultural Inputs,Agricultural Inputs,agricultural-inputs,Basic Materials,basic-materials,Basic Materials
PXD,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
F,Auto Manufacturers,Auto Manufacturers,auto-manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
EW,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
MPC,Oil & Gas Refining & Marketing,Oil & Gas Refining & Marketing,oil-gas-refining-marketing,Energy,energy,Energy
GM,Auto Manufacturers,Auto Manufacturers,auto-manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
MU,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
SHW,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
LRCX,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,semiconductor-equipment-materials,Technology,technology,Technology
NSC,Railroads,Railroads,railroads,Industrials,industrials,Industrials
UBS,Banks - Diversified,Banks - Diversified,banks-diversified,Financial Services,financial-services,Financial Services
NTES,Electronic Gaming & Multimedia,Electronic Gaming & Multimedia,electronic-gaming-multimedia,Communication Services,communication-services,Communication Services
EPD,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
ETN,Specialty Industrial Machinery,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,Industrials
DG,Discount Stores,Discount Stores,discount-stores,Consumer Defensive,consumer-defensive,Consumer Defensive
SLB,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,oil-gas-equipment-services,Energy,energy,Energy
EQIX,REIT - Specialty,REIT - Specialty,reit-specialty,Real Estate,real-estate,Real Estate
ICE,Financial Data & Stock Exchanges,Financial Data & Stock Exchanges,financial-data-stock-exchanges,Financial Services,financial-services,Financial Services
MET,Insurance - Life,Insurance - Life,insurance-life,Financial Services,financial-services,Financial Services
MRNA,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
APD,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
PSA,REIT - Industrial,REIT - Industrial,reit-industrial,Real Estate,real-estate,Real Estate
SRE,Utilities - Diversified,Utilities - Diversified,utilities-diversified,Utilities,utilities,Utilities
TRI,Specialty Business Services,Specialty Business Services,specialty-business-services,Industrials,industrials,Industrials
FDX,Integrated Freight & Logistics,Integrated Freight & Logistics,integrated-freight-logistics,Industrials,industrials,Industrials
MAR,Lodging,Lodging,lodging,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
KDP,Beverages - Non-Alcoholic,Beverages - Non - Alcoholic,beverages-non-alcoholic,Consumer Defensive,consumer-defensive,Consumer Defensive
RBGLY,Household & Personal Products,Household & Personal Products,household-personal-products,Consumer Defensive,consumer-defensive,Consumer Defensive
MCO,Financial Data & Stock Exchanges,Financial Data & Stock Exchanges,financial-data-stock-exchanges,Financial Services,financial-services,Financial Services
FIS,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
MCK,Medical Distribution,Medical Distribution,medical-distribution,Healthcare,healthcare,Healthcare
KLAC,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,semiconductor-equipment-materials,Technology,technology,Technology
NTR,Agricultural Inputs,Agricultural Inputs,agricultural-inputs,Basic Materials,basic-materials,Basic Materials
CNC,Healthcare Plans,Healthcare Plans,healthcare-plans,Healthcare,healthcare,Healthcare
AEP,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
ITUB,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
ENLAY,Utilities - Diversified,Utilities - Diversified,utilities-diversified,Utilities,utilities,Utilities
RACE,Auto Manufacturers,Auto Manufacturers,auto-manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
RELX,Specialty Business Services,Specialty Business Services,specialty-business-services,Industrials,industrials,Industrials
MELI,Internet Retail,Internet Retail,internet-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
PRNDY,Beverages - Wineries & Distilleries,Beverages - Wineries & Distilleries,beverages-wineries-distilleries,Consumer Defensive,consumer-defensive,Consumer Defensive
SNPS,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
CMG,Restaurants,Restaurants,restaurants,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
EMR,Specialty Industrial Machinery,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,Industrials
ADM,Farm Products,Farm Products,farm-products,Consumer Defensive,consumer-defensive,Consumer Defensive
DVN,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
TRP,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
ORLY,Specialty Retail,Specialty Retail,specialty-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
ECL,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
MNST,Beverages - Non-Alcoholic,Beverages - Non - Alcoholic,beverages-non-alcoholic,Consumer Defensive,consumer-defensive,Consumer Defensive
RSG,Waste Management,Waste Management,waste-management,Industrials,industrials,Industrials
SU,Oil & Gas Integrated,Oil & Gas Integrated,oil-gas-integrated,Energy,energy,Energy
GIS,Packaged Foods,Packaged Foods,packaged-foods,Consumer Defensive,consumer-defensive,Consumer Defensive
CTVA,Agricultural Inputs,Agricultural Inputs,agricultural-inputs,Basic Materials,basic-materials,Basic Materials
HSY,Confectioners,Confectioners,confectioners,Consumer Defensive,consumer-defensive,Consumer Defensive
CDNS,Software - Application,Software - Application,software-application,Technology,technology,Technology
ABEV,Beverages - Brewers,Beverages - Brewers,beverages-brewers,Consumer Defensive,consumer-defensive,Consumer Defensive
STZ,Beverages - Wineries & Distilleries,Beverages - Wineries & Distilleries,beverages-wineries-distilleries,Consumer Defensive,consumer-defensive,Consumer Defensive
AIG,Insurance - Diversified,Insurance - Diversified,insurance-diversified,Financial Services,financial-services,Financial Services
BIDU,Internet Content & Information,Internet Content & Information,internet-content-information,Communication Services,communication-services,Communication Services
SAN,Banks - Diversified,Banks - Diversified,banks-diversified,Financial Services,financial-services,Financial Services
LHX,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
EDU,Education & Training Services,Education & Training Services,education-training-services,Consumer Defensive,consumer-defensive,Consumer Defensive
ADSK,Software - Application,Software - Application,software-application,Technology,technology,Technology
AZO,Specialty Retail,Specialty Retail,specialty-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
LULU,Apparel Retail,Apparel Retail,apparel-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
COF,Credit Services,Credit Services,credit-services,Financial Services,financial-services,Financial Services
FCX,Copper,Copper,copper,Basic Materials,basic-materials,Basic Materials
LNG,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
APH,Electronic Components,Electronic Components,electronic-components,Technology,technology,Technology
NGG,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
VLO,Oil & Gas Refining & Marketing,Oil & Gas Refining & Marketing,oil-gas-refining-marketing,Energy,energy,Energy
PAYX,Staffing & Employment Services,Staffing & Employment Services,staffing-employment-services,Industrials,industrials,Industrials
BSBR,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
HMC,Auto Manufacturers,Auto Manufacturers,auto-manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
NXPI,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
STLA,Auto Manufacturers,Auto Manufacturers,auto-manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
KHC,Packaged Foods,Packaged Foods,packaged-foods,Consumer Defensive,consumer-defensive,Consumer Defensive
BCE,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
EXC,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
ENPH,Solar,Solar,solar,Technology,technology,Technology
TAK,Drug Manufacturers - Specialty & Generic,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Healthcare,healthcare,Healthcare
KMI,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
CTAS,Specialty Business Services,Specialty Business Services,specialty-business-services,Industrials,industrials,Industrials
SMFG,Banks - Diversified,Banks - Diversified,banks-diversified,Financial Services,financial-services,Financial Services
CRWD,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
E,Oil & Gas Integrated,Oil & Gas Integrated,oil-gas-integrated,Energy,energy,Energy
KMB,Household & Personal Products,Household & Personal Products,household-personal-products,Consumer Defensive,consumer-defensive,Consumer Defensive
SYY,Food Distribution,Food Distribution,food-distribution,Consumer Defensive,consumer-defensive,Consumer Defensive
TEL,Electronic Components,Electronic Components,electronic-components,Technology,technology,Technology
ROP,Software - Application,Software - Application,software-application,Technology,technology,Technology
TRV,Insurance - Property & Casualty,Insurance - Property & Casualty,insurance-property-casualty,Financial Services,financial-services,Financial Services
MSI,Communication Equipment,Communication Equipment,communication-equipment,Technology,technology,Technology
A,Diagnostics & Research,Diagnostics & Research,diagnostics-research,Healthcare,healthcare,Healthcare
WMB,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
IQV,Diagnostics & Research,Diagnostics & Research,diagnostics-research,Healthcare,healthcare,Healthcare
XEL,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
AFL,Insurance - Life,Insurance - Life,insurance-life,Financial Services,financial-services,Financial Services
MRVL,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
JCI,Building Products & Equipment,Building Products & Equipment,building-products-equipment,Industrials,industrials,Industrials
LYG,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
HES,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
WDAY,Software - Application,Software - Application,software-application,Technology,technology,Technology
WCN,Waste Management,Waste Management,waste-management,Industrials,industrials,Industrials
ET,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
AJG,Insurance Brokers,Insurance Brokers,insurance-brokers,Financial Services,financial-services,Financial Services
GPN,Specialty Business Services,Specialty Business Services,specialty-business-services,Industrials,industrials,Industrials
CVE,Oil & Gas Integrated,Oil & Gas Integrated,oil-gas-integrated,Energy,energy,Energy
TT,Building Products & Equipment,Building Products & Equipment,building-products-equipment,Industrials,industrials,Industrials
HLT,Lodging,Lodging,lodging,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
MSCI,Financial Data & Stock Exchanges,Financial Data & Stock Exchanges,financial-data-stock-exchanges,Financial Services,financial-services,Financial Services
ING,Banks - Diversified,Banks - Diversified,banks-diversified,Financial Services,financial-services,Financial Services
ALL,Insurance - Property & Casualty,Insurance - Property & Casualty,insurance-property-casualty,Financial Services,financial-services,Financial Services
BK,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
BF-A,Beverages - Wineries & Distilleries,Beverages - Wineries & Distilleries,beverages-wineries-distilleries,Consumer Defensive,consumer-defensive,Consumer Defensive
